"sampleid","DISEASE","IFI6","MX1","NMI","OAS3","OASL","SAMD9","UBE2L6"
"GSM1509658",1,0.316576542509161,0.351294175282756,0.231016374125779,0.200312819283839,0.277070403050452,0.232175831530878,0.313267163608392
"GSM1509659",1,0.230607656799762,0.300710093787257,0.222805081520534,0.140319663897787,0.146094995517239,0.199170373335246,0.303392122888558
"GSM1509660",1,0.356316470128113,0.362591023863398,0.23603680977413,0.236259068306293,0.298643737561743,0.23004338420572,0.309366074277532
"GSM1509661",1,0.397906704342708,0.382628081694174,0.253392611926138,0.275575004731928,0.364956067950082,0.283729012122777,0.342980938516821
"GSM1509662",1,0.361883684323798,0.374931532849913,0.251279897151829,0.260851051584399,0.342863867770316,0.280266976373145,0.337968841176179
"GSM1509663",1,0.350564601315455,0.372956429514015,0.242745348437361,0.261551507587401,0.332204143419545,0.270016614140347,0.322257581510009
"GSM1509664",1,0.374202350863374,0.379476911185232,0.257923946772189,0.275862157970894,0.364375110103031,0.314032054296099,0.344895591656965
"GSM1509665",1,0.200574826338672,0.287871295128769,0.236298123683709,0.119011600484328,0.135752821474186,0.194256253689584,0.304801385864792
"GSM1509666",1,0.367626029154016,0.372760427218534,0.251439164742679,0.249053699444815,0.323248819199319,0.285163843277652,0.334839259017704
"GSM1509667",1,0.351327565068537,0.368075744743484,0.22548799978603,0.243446433981155,0.298524073432467,0.247895604344761,0.329913604043087
"GSM1509668",1,0.330099855815855,0.365994866020235,0.243671942688906,0.237150158248416,0.294348025959833,0.260491342748609,0.325364946906205
"GSM1509669",1,0.382899566735008,0.376162008238439,0.255498906483949,0.26670654677883,0.328019326352423,0.262845484494709,0.329723039920453
"GSM1509670",1,0.363930058365525,0.374017483509387,0.247454110099889,0.266519726000364,0.313010971333742,0.271736216019262,0.320609921166734
"GSM1509671",1,0.36988104316022,0.377289107276728,0.241600560953384,0.267158722022077,0.339893043201309,0.28440070790388,0.33405462197237
"GSM1509672",1,0.358886049142418,0.374694101094571,0.24293423194406,0.263269709958934,0.328701239774756,0.260654839308236,0.331883186735187
